Kilométrage,Prix,Cluster
24060.0,18499.0,0
26698.0,25499.0,1
104447.0,16499.0,2
21565.0,22099.0,0
59152.0,12099.0,2
13270.0,17499.0,0
138010.0,13999.0,2
55942.0,11999.0,2
29400.0,15499.0,0
37440.0,18999.0,0
20917.0,21999.0,0
92472.0,9999.0,2
7226.0,27499.0,1
63620.0,13999.0,2
71517.0,11999.0,2
49665.0,11499.0,0
100523.0,16699.0,2
61717.0,13999.0,2
44621.0,25999.0,1
51051.0,15999.0,0
105850.0,20999.0,2
66315.0,14999.0,2
1872.0,33499.0,1
94696.0,12299.0,2
16744.0,24199.0,1
86305.0,11399.0,2
15800.0,17299.0,0
62405.0,12999.0,2
65061.0,13499.0,2
9345.0,24699.0,1
56960.0,18499.0,0
72827.0,14499.0,2
5035.0,27499.0,1
37235.0,27999.0,1
52740.0,22999.0,0
4056.0,17999.0,0
116483.0,18999.0,2
29714.0,14199.0,0
79980.0,11499.0,2
71640.0,10999.0,2
20993.0,16699.0,0
23045.0,25999.0,1
65631.0,12499.0,2
50410.0,27499.0,1
58893.0,10799.0,2
17080.0,17999.0,0
3725.0,28999.0,1
225.0,21299.0,0
78610.0,11999.0,2
51512.0,20999.0,0
6006.0,33499.0,1
71889.0,15399.0,2
23366.0,33099.0,1
51555.0,25499.0,1
54450.0,13499.0,0
50776.0,18299.0,0
5091.0,20999.0,0
20957.0,21499.0,0
70178.0,12999.0,2
20847.0,18999.0,0
72275.0,12099.0,2
68830.0,11999.0,2
73775.0,13999.0,2
13262.0,19499.0,0
38811.0,20499.0,0
37605.0,13499.0,0
26352.0,20399.0,0
75747.0,14999.0,2
34141.0,26999.0,1
3881.0,22999.0,0
44841.0,13499.0,0
17122.0,18399.0,0
104775.0,11299.0,2
8000.0,24499.0,1
7901.0,19399.0,0
46663.0,15499.0,0
67749.0,13499.0,2
40700.0,21999.0,0
853.0,22999.0,0
98133.0,10999.0,2
16415.0,25399.0,1
14697.0,17699.0,0
4420.0,24999.0,1
41825.0,17399.0,0
80271.0,13299.0,2
24017.0,22999.0,0
55540.0,16299.0,0
12497.0,19999.0,0
79964.0,10999.0,2
61260.0,22499.0,0
92837.0,13799.0,2
58885.0,13599.0,2
44212.0,15299.0,0
83325.0,12499.0,2
74606.0,10499.0,2
14734.0,14999.0,0
44725.0,13799.0,0
9783.0,27999.0,1
90871.0,14499.0,2
22710.0,33099.0,1
88170.0,16499.0,2
6106.0,29499.0,1
3410.0,33499.0,1
117511.0,12999.0,2
46452.0,12099.0,0
66045.0,13499.0,2
44735.0,13599.0,0
11309.0,19399.0,0
48945.0,16499.0,0
80949.0,21999.0,2
28734.0,16499.0,0
71621.0,12499.0,2
20835.0,17899.0,0
53277.0,12099.0,0
48390.0,17799.0,0
38963.0,31499.0,1
61937.0,13999.0,2
12364.0,22999.0,0
77239.0,12499.0,2
3235.0,32499.0,1
5113.0,24999.0,1
78361.0,15999.0,2
8741.0,33299.0,1
42055.0,14799.0,0
61791.0,18299.0,2
65685.0,17999.0,2
