Marque,Modèle,Année,Kilométrage,Etat,Prix,Type de Carburant,Transmission
Peugeot,2008,2024,3265.0,Occasion,20399.0,Essence,Manuelle
Peugeot,208,2019,56255.0,Occasion,12499.0,Essence,Manuelle
Peugeot,2008,2024,22033.0,Occasion,19499.0,Essence,Manuelle
Peugeot,208,2023,41560.0,Occasion,16499.0,Essence,Manuelle
Peugeot,2008,2022,53220.0,Occasion,18299.0,Essence,Manuelle
Citroën,C3,2022,44133.0,Occasion,10799.0,Essence,Manuelle
Peugeot,208,2024,7694.0,Occasion,16999.0,Essence,Manuelle
Peugeot,2008,2020,46855.0,Occasion,16499.0,Essence,Manuelle
Peugeot,2008,2023,44052.0,Occasion,19799.0,Essence,Auto.
Peugeot,2008,2018,95075.0,Occasion,10499.0,Essence,Manuelle
Renault,Clio 5,2021,27700.0,Occasion,14699.0,Non spécifié,Manuelle
Peugeot,2008,2021,50906.0,Occasion,18399.0,Essence,Auto.
Peugeot,2008,2016,78710.0,Occasion,10599.0,Essence,Manuelle
Peugeot,2008,2021,60679.0,Occasion,15499.0,Essence,Manuelle
Peugeot,2008,2024,12876.0,Occasion,23999.0,Essence,Auto.
Peugeot,2008,2024,12748.0,Occasion,19499.0,Essence,Manuelle
Peugeot,208,2020,106512.0,Occasion,13499.0,Diesel,Manuelle
Peugeot,2008,2022,55708.0,Occasion,17999.0,Essence,Manuelle
Peugeot,2008,2024,17853.0,Occasion,19799.0,Essence,Manuelle
Peugeot,2008,2019,64536.0,Occasion,12999.0,Essence,Manuelle
Peugeot,208,2019,29570.0,Occasion,10999.0,Essence,Manuelle
Peugeot,2008,2024,5180.0,Occasion,24299.0,Essence,Auto.
Peugeot,2008,2021,37591.0,Occasion,14999.0,Essence,Manuelle
Peugeot,2008,2022,58160.0,Occasion,17999.0,Essence,Manuelle
Peugeot,208,2018,85705.0,Occasion,9499.0,Essence,Manuelle
Peugeot,308,2015,73830.0,Occasion,9499.0,Essence,Manuelle
Peugeot,3008,2018,71140.0,Occasion,13499.0,Essence,Manuelle
Peugeot,3008,2019,46300.0,Occasion,15499.0,Essence,Manuelle
